VENDOR_ID,FRAUD_CLAIMS,AVG_RISK_SCORE,TOTAL_CLAIM_AMT
VND0027,13,90.64461538461539,306560
VND0016,12,93.85416666666667,369733
VND0042,11,93.71,360961
VND0050,9,92.08333333333333,245975
VND0029,9,92.19333333333333,242592
VND0037,8,93.21125,251273
VND0013,8,92.275,191950
VND0008,8,93.8425,215954
VND0014,8,91.27625,214634
VND0005,8,93.14750000000001,256338
VND0046,8,93.77375,213949
VND0026,8,94.31,222116
VND0023,7,92.79285714285713,201926
VND0015,7,90.19285714285715,173734
VND0018,7,92.64714285714285,172805
VND0017,7,92.56428571428572,124074
VND0004,7,91.51142857142858,174847
VND0048,7,94.32571428571428,215264
VND0044,7,92.58857142857143,174686
VND0045,6,90.985,141093
VND0033,6,92.85833333333333,170055
VND0034,6,93.96999999999998,160649
VND0031,6,93.705,164160
VND0032,6,93.03833333333334,198172
VND0022,6,94.575,158123
VND0010,6,93.10833333333333,164343
VND0009,6,93.39166666666667,135698
VND0021,6,93.61,134039
VND0043,5,91.728,172513
VND0036,5,91.836,128080
VND0006,5,93.744,152460
VND0011,5,91.086,159686
VND0001,5,89.69,143227
VND0012,5,92.55999999999999,135707
VND0035,4,95.5975,138858
VND0040,4,94.28,108620
VND0007,4,94.64750000000001,130545
VND0041,4,92.72749999999999,110134
VND0020,4,93.5025,111566
VND0030,4,95.4475,103004
VND0039,4,95.435,118476
VND0038,4,87.64,118471
VND0047,4,96.5525,143107
VND0002,3,93.45,118562
VND0003,3,95.66333333333334,120898
VND0025,3,92.15666666666668,99306
VND0024,3,95.69333333333333,123065
VND0019,3,95.14666666666666,87120
VND0028,1,93.63,46740
VND0049,1,96.11,39154
